Date,Open,High,Low,Close,Volume,Ticker,Return,Volatility,Volume_Zscore,Return_Zscore,Manipulation_Flag,stock,sentiment_score,risk_score,event_count,twitter_sentiment
2023-03-21,43.29999923706055,44.5,42.099998474121094,44.099998474121094,2084710,AMC,0.0327868310577816,0.073546717642398,-0.274583314377528,0.285582938144422,0,AMC,0.5,1.0,0.0,0.5
2023-03-22,47.29999923706055,47.5,43.099998474121094,43.400001525878906,3144660,AMC,-0.0158729472213692,0.0716245682578222,-0.1569163794069452,-0.1636948100644722,0,AMC,0.5,1.0,0.0,0.5
2023-03-23,44.400001525878906,46.79999923706055,43.400001525878906,44.70000076293945,1945150,AMC,0.0299538984183069,0.0504466018107607,-0.2900761182310065,0.259426353751681,0,AMC,0.5,1.0,0.0,0.5
2023-03-24,44.0,45.400001525878906,43.79999923706055,44.70000076293945,1047760,AMC,0.0,0.0322265974462584,-0.3896969784350267,-0.017139230954673,0,AMC,0.5,1.0,0.0,0.5
2023-03-27,45.099998474121094,45.79999923706055,43.0,45.5,2031440,AMC,0.0178970743491311,0.0291119536361379,-0.2804969118357882,0.148105197759668,0,AMC,0.5,1.0,0.0,0.5
2023-03-28,45.099998474121094,55.0,44.599998474121094,51.5,8981150,AMC,0.1318681318681318,0.0476058342417484,0.491002757615043,1.2004046922080938,0,AMC,0.5,1.0,0.0,0.5
2023-03-29,51.400001525878906,52.099998474121094,48.29999923706055,50.0,2809780,AMC,-0.0291262135922329,0.0528735104099073,-0.1940920039014485,-0.2860627673814006,0,AMC,0.5,1.0,0.0,0.5
2023-03-30,51.099998474121094,51.599998474121094,48.70000076293945,49.70000076293945,2023350,AMC,-0.0059999847412108,0.0538145839624667,-0.2813949971265208,-0.072537338573547,0,AMC,0.5,1.0,0.0,0.5
2023-03-31,49.099998474121094,50.599998474121094,48.70000076293945,50.099998474121094,1900330,AMC,0.0080482435621995,0.0520054187668159,-0.2950516661581554,0.0571705351917758,0,AMC,0.5,1.0,0.0,0.5
2023-04-03,49.900001525878906,51.5,49.400001525878906,51.099998474121094,3361660,AMC,0.0199600804482369,0.0518814838080788,-0.1328268234008917,0.1671530185168908,0,AMC,0.5,1.0,0.0,0.5
2023-04-04,40.79999923706055,44.5,38.79999923706055,39.099998474121094,9039950,AMC,-0.2348336665034782,0.1102949302337781,0.4975302502102317,-2.1853681999618484,0,AMC,0.5,1.0,0.0,0.5
2023-04-05,40.70000076293945,40.900001525878906,39.400001525878906,40.5,3065720,AMC,0.0358056670208188,0.1113384083887501,-0.1656796492277649,0.3134559756232325,0,AMC,0.5,1.0,0.0,0.5
2023-04-06,44.5,51.599998474121094,43.099998474121094,49.0,10155480,AMC,0.2098765432098766,0.1302706074577411,0.6213672198481713,1.920659585025575,0,AMC,0.5,1.0,0.0,0.5
2023-04-10,47.70000076293945,53.70000076293945,47.400001525878906,52.400001525878906,5057570,AMC,0.0693877862424265,0.1318442763323677,0.0554391624342523,0.6235210732776356,0,AMC,0.5,1.0,0.0,0.5
2023-04-11,54.5,56.29999923706055,52.5,54.29999923706055,3663040,AMC,0.0362594972491228,0.131710915084422,-0.0993700934971847,0.3176462089175933,0,AMC,0.5,1.0,0.0,0.5
2023-04-12,56.20000076293945,57.400001525878906,53.400001525878906,53.400001525878906,3362080,AMC,-0.0165745437168879,0.1324301822906645,-0.1327801984537832,-0.1701726795658413,0,AMC,0.5,1.0,0.0,0.5
2023-04-13,54.79999923706055,56.599998474121094,53.900001525878906,54.599998474121094,2048540,AMC,0.0224718523212146,0.1324425437597535,-0.2785986104177997,0.1903443122509474,0,AMC,0.5,1.0,0.0,0.5
2023-04-14,57.400001525878906,57.599998474121094,49.0,51.20000076293945,3599800,AMC,-0.0622710220915692,0.0853313043353294,-0.1063904783903774,-0.5920901570248339,0,AMC,0.5,1.0,0.0,0.5
2023-04-17,52.400001525878906,53.0,51.29999923706055,52.0,1621310,AMC,0.0156249848660083,0.085919721844863,-0.3260261726872294,0.1271269014581439,0,AMC,0.5,1.0,0.0,0.5
2023-04-18,52.29999923706055,52.29999923706055,49.79999923706055,50.5,1373230,AMC,-0.0288461538461538,0.0441160484239972,-0.3535659747793113,-0.2834769641465284,0,AMC,0.5,1.0,0.0,0.5
2023-04-19,49.5,51.70000076293945,49.20000076293945,51.0,1281400,AMC,0.0099009900990099,0.0343218791878027,-0.3637601864292463,0.0742770207019374,0,AMC,0.5,1.0,0.0,0.5
2023-04-20,50.0,50.20000076293945,48.900001525878906,49.70000076293945,1029580,AMC,-0.0254901811188342,0.0301241361342105,-0.3917151725741514,-0.2524911289597983,0,AMC,0.5,1.0,0.0,0.5
2023-04-21,49.400001525878906,50.70000076293945,49.099998474121094,49.900001525878906,1397320,AMC,0.0040241601583352,0.0306240161108497,-0.3508917010273029,0.0200160064571562,0,AMC,0.5,1.0,0.0,0.5
2023-04-24,49.0,50.29999923706055,46.400001525878906,49.599998474121094,2238440,AMC,-0.0060120850217254,0.027436670127855,-0.2575174736180321,-0.0726490609646992,0,AMC,0.5,1.0,0.0,0.5
2023-04-25,49.400001525878906,53.400001525878906,49.20000076293945,51.5,3303820,AMC,0.0383064835550395,0.0235785640760147,-0.1392477446884038,0.3365461182608043,0,AMC,0.5,1.0,0.0,0.5
2023-04-26,51.79999923706055,53.20000076293945,50.5,51.900001525878906,1427510,AMC,0.0077670199199788,0.0229489083457685,-0.347540255424433,0.054573985655623,0,AMC,0.5,1.0,0.0,0.5
2023-04-27,52.20000076293945,55.599998474121094,51.599998474121094,53.70000076293945,2101510,AMC,0.0346820652050079,0.0222128348696987,-0.2727183164931884,0.3030817135212767,0,AMC,0.5,1.0,0.0,0.5
2023-04-28,54.599998474121094,55.400001525878906,53.400001525878906,55.0,1897560,AMC,0.0242085515566272,0.0229527601936502,-0.2953591687855138,0.2063793282209362,0,AMC,0.5,1.0,0.0,0.5
2023-05-01,55.29999923706055,56.900001525878906,53.79999923706055,56.5,2034120,AMC,0.0272727272727273,0.0167790212069448,-0.2801994002685245,0.2346709895176271,0,AMC,0.5,1.0,0.0,0.5
2023-05-02,56.70000076293945,57.400001525878906,53.20000076293945,55.0,1623970,AMC,-0.0265486725663717,0.0237418754076758,-0.3257308813555423,-0.262264224334788,0,AMC,0.5,1.0,0.0,0.5
